keys	en_US	en_GB	es_MX	es_AR	ja_JP	pr
TITLE	Snail Quest	Snail Quest				
TITLE_VERSION	version	version				
TITLE_START	Start Game	Start Game				Set Sail
TITLE_OPTIONS	Options	Options				Maintenance
TITLE_SPLASH_0	There will never be splash text in the game ever	There will never be splash text in the game ever				Thar will never be splash writin' in the game ever
TITLE_SPLASH_1	Pillow, or closet?	Pillow, or closet?				Piller, er closet?
TITLE_SPLASH_2	Why are there two generals?	Why are there two generals?				Why thar be two generals?
TITLE_SPLASH_3	Currently, yes, I am a pumpkin	Currently, yes, I am a pumpkin				Currently, yar, I be a pumpkin
TITLE_SPLASH_4	I like touching old pennies	I like touching old pennies				I like touching old doubloons
TITLE_SPLASH_5	Grapes r gren or purpol	Grapes r gren or purpol				Grapes arrr gren or purpol
TITLE_SPLASH_6	Somebody kick Razzbow already	Somebody kick Razzbow already				Some lubber throw Razzbow overboard
TITLE_SPLASH_7	Here you are my good sir, a complimentary boog	Here you are my fine chap, a complimentary boog				Here ye are my matey, a complimentary boog
TITLE_SPLASH_8	(x^2 + 5x +6) = (x+3)(x+2) = math = Eddie wins against dragone	(x^2 + 5x +6) = (x+3)(x+2) = maths = Eddie wins against dragone				(2 paces) + 5 paces + 6) = (3 east )(x weast) = Eddie finds the treasar
TITLE_SPLASH_9	I dont follow monkey lore	I dont follow monkey lore				I dont follow monkey tales
OPTIONS_FULLSCREEN	Fullscreen Window	Fullscreen Window				Fullscreen Winder
OPTIONS_RESOLUTION	Display Resolution	Display Resolution				Porthole Quality
OPTIONS_FILTER	Screen Filter	Screen Filter				Eyepatch Type
OPTIONS_FILTER_DEFAULT	Default	Default				Swabbie-standard
OPTIONS_FILTER_CONTRASTED	Contrasted	Contrasted				High-focus
OPTIONS_FILTER_MONOCHROME	Monochrome	Monochrome				Moving pictures
OPTIONS_FILTER_PROTANOPIA	Protanopia (For Debug)	Protanopia (For Debug)				Anti-red Eyepatch
OPTIONS_FILTER_DEUTERANOPIA	Deuteranopia (For Debug)	Deuteranopia (For Debug)				Anti-green Eyepatch
OPTIONS_FILTER_TRITANOPIA	Tritanopia (For Debug)	Tritanopia (For Debug)				Yeller-blue Eyepatch
OPTIONS_FILTER_ACHROMATOPSIA	Achromatopsia (For Debug)	Achromatopsia (For Debug)				Daylight Eyepatch
OPTIONS_FPS	Framerate	Framerate				Framerrrrate
OPTIONS_VSYNC	Vertical Sync	Vertical Sync				Screen waves
OPTIONS_VOLUME_MASTER	Master Volume	Master Volume				Captain's Volume
OPTIONS_VOLUME_MUSIC	Music Volume	Music Volume				Bard's volume
OPTIONS_VOLUME_SFX	Effects Volume	Effects Volume				Sea's volume
OPTIONS_HEADPHONES	Headphones Mode	Headphones Mode				Pirate Cap Mode
OPTIONS_MONO	Toggle Mono	Toggle Mono				Use Earpatch
OPTIONS_SENSITIVITY	Camera Sensitivity	Camera Sensitivity				Camera sway
OPTIONS_INVERT	Camera Invert	Camera Invert				Camera reverse
OPTIONS_HORIZONTAL	Horizontal	Horizontal				Longitude
OPTIONS_VERTICAL	Vertical	Vertical				Latitude
OPTIONS_CONTROLS	Control Mapping	Control Mapping				Crew Mapping
OPTIONS_BUTTON_ACTION	Action Button	Action Button				Attack Button
OPTIONS_BUTTON_COMBAT	Combat Button	Combat Button				Dual Button
OPTIONS_BUTTON_DEFENSE	Defense Button	Defence Button				Retreat Button
OPTIONS_LANGUAGE	Language	Language				Switch Tongue
OPTIONS_LANGUAGE_EN_US	English (United States)	English (United States)				English (The Colonies)
OPTIONS_LANGUAGE_EN_GB	English (Great Britain)	English (Great Britain)				English (The Empire)
OPTIONS_LANGUAGE_ES_MX	Español (Spanish)	Español (Spanish)				Español (Spanish)
OPTIONS_LANGUAGE_ES_AR	Rioplatense (Argentina)	Rioplatense (Argentina)				Rioplatense (Argentina)
OPTIONS_LANGUAGE_JA_JP	日本語 (Japanese)	日本語 (Japanese)				日本語 (Japanese)
OPTIONS_LANGUAGE_PR	Pirate (ARRGGGH!!)	Pirate (ARRGGGH!!)				Pirate (ARRGGGH!!)
TOOL_MALLET	Mallet	Mallet				
TOOL_NEEDLE	Needle	Needle				
TOOL_SPOOL	Spool	Spool				
ITEM_PETAL	Petal	Petal				
ITEM_GEM_1	Gem	Gem				
ITEM_GEM_5	Gem (x5)	Gem (x5)				
ITEM_GEM_10	Gem (x10)	Gem (x10)				
ITEM_GEM_50	Gem (x50)	Gem(x500)				
ITEM_GEM_100	Gem (x100)	Gem(x500)				
ITEM_GEM_500	Gem (x500)	Gem (x500)				
ITEM_GEM_1000	Gem (x1,000)	Gem (x1,000)				
ITEM_SAMARA	Samara	Samara				
NAME_SIGN	Sign	Sign				
NAME_SHELDON	Sheldon	Sheldon				Cap'n Sheld
NAME_FUBWARD	Fubby	Fubby				First Mate Fub
NAME_SUNSHINE	Sunshine	Sunshine				Sun Scalawag
NAME_IZABELL	Izabell	Izabell				Crewmate Bell
NAME_SARAH	Sarah	Sarah				Sarrrah
NAME_PINKY	Pinky	Pinky				Planky
NAME_MELON	Melon	Melon				Grenfruit
NAME_EDMUND	Edmund	Edmund				Eddington
NAME_LENNY	Lenny	Lenny				Lenard
NAME_DJAY	DJay	DJay				Sir. Gurdy
NAME_TUBWARD	Tubby	Tubby				Tubbington
DIALOG_TEST_B1_0	Hi there, new friend!! I'm barely alive... But, I'm trying to be?					
DIALOG_TEST_B1_1	Well, that was nice meeting you anyway! Yay!!					
DIALOG_TEST_B1_2	Well hi!! Again? Did you really want to chat more? Because I've not got anything new to say, you know.					
DIALOG_TEST_Q1	I know, but you're cool!					
DIALOG_TEST_B2_1	Really?? Thank you so much!! You're cool too.					
DIALOG_TEST_Q2	Oh, I forgot about that.					
DIALOG_TEST_B3_1	It's not a problemmm, just come back later or something!					
